"nome","resumo","coordenador"
"MONITÓRIA DE ÁLGEBRA III","Em breve este conteúdo estará disponível.","Adriana Juzga León "
"MONITORIA DE IME02-09315 - ÁLGEBRA II","Em breve este conteúdo estará disponível.","Ageu Barbosa Freire "
"MONITORIA DE IME02-09313 - ÁLGEBRA LINEAR II","Em breve este conteúdo estará disponível.","Alejandro Simarra Canate "
"MONITORIA DE IME02-09312 - ÁLGEBRA LINEAR I","Em breve este conteúdo estará disponível.","Alejandro Simarra Canate "
"MONITORIA DE ANÁLISE COMBINATÓRIA (RENOVAÇÃO)","Em breve este conteúdo estará disponível.","Andréa Zander Vaiano "
"MONITORIA DE MATEMÁTICA BÁSICA I (RENOVAÇÃO)","Em breve este conteúdo estará disponível.","Andréa Zander Vaiano "
"MONITORIA INTRODUÇÃO À ÁLGEBRA LINEAR","Em breve este conteúdo estará disponível.","Camila Martins Saporetti "
"MONITORIA DE CÁLCULO II","Em breve este conteúdo estará disponível.","Carlos Eduardo De Souza "
"MONITORIA DE CÁLCULO III","Em breve este conteúdo estará disponível.","Carlos Eduardo De Souza "
"MONITORIA DE MATEMÁTICA APLICADA À BIOLOGIA","Em breve este conteúdo estará disponível.","Carlos Frederico Estrada Alves "
"PRÉ-CÁLCULO NUM ESQUEMA COLABORATIVO DE RESOLUÇÃO DE PROBLEMAS","Em breve este conteúdo estará disponível.","Cláudia Ferreira Reis Concordido "
"ÁLGEBRA I","Em breve este conteúdo estará disponível.","Fabio Silva De Souza "
"TREINAMENTO PARA OBMEP EM SÃO GONÇALO","Em breve este conteúdo estará disponível.","Fabio Silva De Souza "
"MONITORIA DA DISCIPLINA DE INTRODUÇÃO À EQUAÇÕES DIFERENCIAIS ORDINÁRIAS","Em breve este conteúdo estará disponível.","Fernando Rodrigues Trindade Ferreira "
"LABORATÓRIO ITINERANTE DE EDUCAÇÃO FINANCEIRA LÚDICA: POSSIBILIDADES DE IMPLEMENTAÇÃO NO CAP-UERJ","Em breve este conteúdo estará disponível.","Gabriela Felix Brião "
"PROJETO DE MONITORIA DE GEOMETRIA ANALÍTICA","Em breve este conteúdo estará disponível.","Jeannie Rangel Borges "
"MONITORIA DE ÁLGEBRA I-IME02-9314","Em breve este conteúdo estará disponível.","Jessicaruth Gavia Zurita "
"CÁLCULO III - IME-01-9300 - PROJETO DE MONITORIA","Em breve este conteúdo estará disponível.","Laurent Marcos Prouvée "
"CÁLCULO III - IME-01-6767 - PROJETO DE MONITORIA 2024/25","Em breve este conteúdo estará disponível.","Laurent Marcos Prouvée "
"DIVERSIDADE METODOLÓGICA NO ENSINO DA MATEMÁTICA NO INSTITUTO DE EDUCAÇÃO CLÉLIA NANCI.","Em breve este conteúdo estará disponível.","Marcele Câmara De Souza "
"GEOMETRIA DESCRITIVA","Em breve este conteúdo estará disponível.","Marco Antonio Magalhaes Lima "
"DESENHO BÁSICO","Em breve este conteúdo estará disponível.","Marco Antonio Magalhaes Lima "
"DESENHO TÉCNICO","Em breve este conteúdo estará disponível.","Marco Antonio Magalhaes Lima "
"USO DE AMBIENTES INVESTIGATIVOS NO ENSINO DE CÁLCULO","Em breve este conteúdo estará disponível.","Mariana Gesualdi Villapouca "
"METODOLOGIAS ATIVAS EM MATEMÁTICA: AÇÕES E REFLEXÕES NA FORMAÇÃO DE ALUNOS MONITORES","Em breve este conteúdo estará disponível.","Priscila Cardoso Petito "
"ESTUDO DE EQUAÇÕES DIFERENCIAIS ORDINÁRIAS E TEORIA DAS FOLHEAÇÕES","Em breve este conteúdo estará disponível.","Raphael Constant Da Costa "
"MONITORIA DE IME02-04641 - ÁLGEBRA I","Em breve este conteúdo estará disponível.","Ricardo Galdo Camelier "
"DESENVOLVIMENTO E IMPLEMENTAÇÃO DO CURSO DE MATEMÁTICA PRÉ-CÁLCULO PARA PLATAFORMA MOODLE","Em breve este conteúdo estará disponível.","Sílvia Cristina Dias Pinto "
"UMA INTRODUÇÃO ÀS FORMAS MODULARES","Em breve este conteúdo estará disponível.","Younes Nikdelan "
